Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Africa Western and Central,AFW,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,46.2995269625541,45.8775622234097,47.2322342826716,40.286958584426,..,37.0878091694112,35.2228271492156,30.0436806984557,26.167069875571,31.289066470652,31.456299909309,31.8881154687957,31.4125599175963,33.0773721767667,35.7213953487879,32.1272213821034,31.7065643661896,37.3759019014919,41.1248574845712,42.3402502910324,44.3798601668311,35.1148077826874,..
Arab World,ARB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,27.0793926829545,23.3549247207573,23.6492066337842,24.9572105758739,24.2896349958347,26.0345846092644,27.5773550849152,28.0156174707174,..,..,..,..
Caribbean small states,CSS,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,16.491212048175,16.8477001898082,14.3662711926556,15.2616531877264,15.9894650105074,16.6025989617778,17.7560532309524,17.6982733318842,17.323715705119,19.0517096110547,15.1692671384334,28.4988541882419,20.6179857446225,18.7964759248955,22.0680918115412,14.777763267403,12.3265004458473,14.7714788659971,17.3243068630034,18.1024905768837,25.088197432429,24.2734911412511,29.9792063972668
Caribbean small states,CSS,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,25.338363483702,27.285969444747,25.063132319848,28.580281028438,28.2736747905498,27.6972950117283,30.5922813564431,31.2478926506034,32.0046287459073,32.9275715848751,34.0317132205452,45.0194649302255,46.2530589368886,48.283795641018,51.3337922483294,49.6316856175023,52.4677195660589,55.368530626175,50.0792941612853,49.1410956321761,49.9961519957617,47.452463890364,37.4088221384462
Central Europe and the Baltics,CEB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,35.6406772770987,36.7140353214017,37.8866200182679,39.2823075855946,36.4524602788952,37.3886387815016,38.0403971978495,38.274035316771,38.6189473083939,39.3731723113642,41.765080017545,41.5153500678057,42.9306598506358,43.7622159457384,44.4789015395562,44.8042052569561,45.644622037519,46.0798703842171,46.6502783797321,47.4589483073701,55.9398410486349,55.9717696335244,51.6060246956917
Central Europe and the Baltics,CEB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,44.8039762981475,43.4048813654308,40.1463268715769,41.1071067341167,39.179475195018,41.5700922338988,42.0746798260703,43.5567736467029,42.1724010710108,45.1853732483691,46.1053919906319,46.1634479383753,46.5346115595754,48.5593779698357,48.5637507455079,48.9689043122468,48.9793069203985,47.9626835030079,48.0388961894109,49.0667223753936,56.0944545271558,53.9167848229387,49.5967647144093
Early-demographic dividend,EAR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,28.8422077399892,27.8270141362691,29.626304318867,28.6826588153649,32.5191952078884,33.6661313578942,34.0998758061083,34.2657772173986,29.7208329502047,30.6500861862881,31.2774432081475,32.086357865497,32.6475469010625,32.9004188558083,32.5295438096037,32.6398515758555,33.0701862344117,33.1901245412343,34.0591288343919,33.8527931483531,44.8533176946756,45.2999585780998,38.5578912128271
Early-demographic dividend,EAR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,28.6677885245822,26.275763442341,28.783490481572,30.543563309817,31.0615129118892,25.6823720208365,26.4132955564449,27.0413074450937,29.1228215277538,31.4743509002117,32.381831014109,31.558870561072,32.716317901735,35.0521886751765,35.0498709702124,36.188750323087,37.4630370666819,37.7451082369142,38.1849995597784,38.6887020212487,45.9474129502795,43.5112607785415,37.2306274955251
East Asia & Pacific,EAS,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,51.2785107768286,50.8354768381117,50.9969805059441,42.3249912882504,41.3010971936613,37.1569144035018,36.6682861265381,39.8200079507855,40.9676015855897,44.8935220352575,43.0572764935304,45.3419800027251,44.0854651258734,44.4845881124429,46.7988664920021,46.3433646622642,47.3550519592447,48.1444307502938,48.0555424990993,49.0903019900865,58.0404905080244,54.6754026807643,51.1381324668949
East Asia & Pacific,EAS,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,36.4177928464248,36.5838201691527,37.1225895203493,37.4473312115939,35.8703191075817,36.2315437786608,37.409076759446,38.5678512181616,39.5097550387515,40.8387700118776,37.3818974666909,37.6036994647212,35.9899144714232,36.5142952093628,34.9689132891518,35.862049023186,36.3344812596511,36.4014361490599,36.6520453590724,38.2643248106045,48.2377429023122,48.5758500467618,44.8031419313172
East Asia & Pacific (excluding high income),EAP,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,63.7355384349329,63.116347251459,63.1631882422562,48.6850361923146,47.2282261621741,40.1878078763674,37.7203539883876,43.5987103420532,45.2696272022787,49.2033410522666,48.9106915526009,51.3184637165147,49.2521173397587,48.9835559675667,52.5181698274336,52.1642321588924,52.8913581510763,53.8732920624017,54.2354940821693,55.5692909829398,64.8222838881671,58.4421977468615,54.0985400813833
East Asia & Pacific (excluding high income),EAP,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,30.9291245936953,31.077260393432,32.1647086187744,32.9509351184483,31.7449893721255,31.8983756213474,32.2784321434154,34.7646573738828,35.2449383533274,35.3402653120009,30.3320708497198,30.3929542845044,27.0787356344646,27.3168896546447,22.9481488070549,24.8346935811871,25.8301376296434,25.9842980135219,26.6430564310893,28.6195719472616,38.6199767707166,38.8801052161995,35.4361082051387
East Asia & Pacific (IDA & IBRD countries),TEA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,63.7355384349329,63.116347251459,63.1631882422562,48.6850361923147,47.2282261621741,40.1878078763674,37.7203539883876,43.5987103420532,45.269468754985,49.2032717156856,48.910709461733,51.3184074218232,49.2520497451034,48.9837149337476,52.5182434522436,52.1643458718089,52.8914426734244,53.8733783569979,54.2356053627139,55.5692909829398,64.8222838881671,58.4421977468616,54.0985400813833
East Asia & Pacific (IDA & IBRD countries),TEA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,30.9291245936954,31.077260393432,32.1647086187744,32.9509351184483,31.7449893721255,31.8983756213474,32.2784321434154,34.7646573738828,35.2436557846395,35.338998759973,30.3309877448883,30.392154528324,27.0781312971619,27.3163428091964,22.9474776209912,24.8340118351527,25.8293106329677,25.9834471664505,26.6421295745147,28.6195719472616,38.6199767707166,38.8801052161995,35.4361082051387
Euro area,EMU,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,40.4266658639997,42.3702671676729,43.4948624943508,46.0781024844672,45.4047097188842,46.8342607805634,45.9888948747866,46.0870185510641,46.4742567415572,47.7038144855766,47.9509632426403,48.5557197639029,49.5794967709473,49.2720201176612,51.1788025386728,52.3966643188707,53.1702292492837,53.4599981371964,53.6303803343728,53.516610114742,60.4536314305528,58.7113537336979,54.4854892459395
